price,rooms,address
"$1,735 /mo","3 Beds, 2 Baths","5587 Berryman Dr, Memphis, TN 38125"
"$1,845 /mo","3 Beds, 2.5 Baths","2776 Fletcher Park Cir E, Memphis, TN 38016"
"$1,765 /mo","3 Beds, 2 Baths",House for Rent
"$1,840 /mo","3 Beds, 2 Baths","4371 Bunker Hill Dr, Memphis, TN 38125"
"$2,180 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,250 /mo","3 Beds, 2 Baths","8739 Overcup Oaks Dr, Memphis, TN 38018"
"$2,125 /mo","3 Beds, 3 Baths",House for Rent
"$1,875 /mo","3 Beds, 2.5 Baths","2256 Lake Hill Ct, Memphis, TN 38016"
"$1,830 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,740 /mo","3 Beds, 2 Baths","2861 McVay Trail Dr, Memphis, TN 38119"
"$1,780 /mo","3 Beds, 2 Baths",House for Rent
"$1,695 /mo","3 Beds, 2 Baths","7553 Glen Laurel Way, Memphis, TN 38125"
"$1,745 /mo","3 Beds, 2 Baths",House for Rent
"$1,950 /mo","3 Beds, 2.5 Baths","2662 Country Downs Ln, Memphis, TN 38016"
"$2,080 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,325 /mo","3 Beds, 2.5 Baths","2234 Burlingate Dr, Memphis, TN 38016"
"$1,485 /mo","3 Beds, 2 Baths",House for Rent
"$1,935 /mo","3 Beds, 2 Baths","7714 Newfound Gap Rd, Memphis, TN 38125"
"$1,665 /mo","3 Beds, 2 Baths",House for Rent
"$1,875 /mo","3 Beds, 2.5 Baths","5725 Morning Flower Dr, Memphis, TN 38135"
"$1,990 /mo","3 Beds, 2 Baths",House for Rent
"$2,135 /mo","3 Beds, 2 Baths","7166 Abbey Cove, Memphis, TN 38141"
"$1,560 /mo","3 Beds, 2 Baths",House for Rent
"$1,575 /mo","3 Beds, 2 Baths","735 Grovewood Dr, Memphis, TN 38018"
"$2,280 /mo","4 Beds, 2 Baths",House for Rent
"$2,358/mo","3 Beds, 2 Baths","6627 Cross Oak Cove, Memphis, TN 38141"
"$2,170 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,528/mo","1 Bed, 1 Bath","8389 Palm Springs Dr, Memphis, TN 38016"
"$1,920 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,960 /mo","3 Beds, 2 Baths","8872 Versilia Ave, Memphis, TN 38018"
"$1,730 /mo","3 Beds, 2 Baths",House for Rent
"$1,960 /mo","3 Beds, 2.5 Baths","4548 Bayhill Dr, Memphis, TN 38125"
"$1,120 /mo","3 Beds, 1 Bath",House for Rent
"$1,790 /mo","5 Beds, 2.5 Baths","8565 Griffin Park Dr, Memphis, TN 38018"
"$1,145 /mo","3 Beds, 1 Bath",House for Rent
"$1,270 /mo","3 Beds, 2 Baths","5305 Oak Court Cove N, Memphis, TN 38141"
"$1,200 /mo","3 Beds, 1 Bath",House for Rent
"$1,370 /mo","3 Beds, 2 Baths","7907 Tankard Dr, Memphis, TN 38125"
"$1,620 /mo","3 Beds, 2 Baths","4022 Castile St, Memphis, TN 38135"
"$1,530 /mo","3 Beds, 2 Baths",House for Rent
"$1,930 /mo","3 Beds, 2.1 Baths","6876 Innsbrook Cove, Memphis, TN 38115"
"$1,465 /mo","3 Beds, 2 Baths",House for Rent
"$2,070 /mo","4 Beds, 2.2 Baths","7126 Abbey Cove, Memphis, TN 38141"
"$1,620 /mo","3 Beds, 2 Baths",House for Rent
"$2,225 /mo","4 Beds, 2.5 Baths","2563 Country Trail Dr, Memphis, TN 38133"
"$2,245 /mo","4 Beds, 2.5 Baths",House for Rent
"$2,175 /mo","4 Beds, 2 Baths","3866 Silver Chalice Dr, Memphis, TN 38115"
"$1,550 /mo","3 Beds, 2 Baths",House for Rent
"$1,220 /mo","3 Beds, 1 Bath","6527 Red Birch Dr, Memphis, TN 38115"
"$1,700 /mo","3 Beds, 2 Baths",House for Rent
"$2,245 /mo","4 Beds, 2 Baths","2834 Lanthorn Dr, Memphis, TN 38016"
"$1,810 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,350 /mo","4 Beds, 3 Baths","1229 N Sanga Rd, Memphis, TN 38016"
"$2,475 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,630 /mo","3 Beds, 2 Baths","6857 Dovefield Ln, Memphis, TN 38135"
"$1,410 /mo","3 Beds, 2 Baths",House for Rent
"$2,070 /mo","4 Beds, 2 Baths","4194 Dunn Ave, Memphis, TN 38111"
"$1,750 /mo","3 Beds, 2 Baths",House for Rent
"$1,795 /mo","3 Beds, 2 Baths","4237 Warbonnet St, Memphis, TN 38109"
"$1,890 /mo","5 Beds, 3 Baths",House for Rent
"$1,530 /mo","3 Beds, 2 Baths","5750 Saranac Ave, Memphis, TN 38135"
"$1,645 /mo","3 Beds, 2 Baths",House for Rent
"$1,915 /mo","3 Beds, 2 Baths","5545 Annandale Dr, Memphis, TN 38125"
"$2,095 /mo","4 Beds, 2 Baths",House for Rent
"$1,815 /mo","3 Beds, 2 Baths","4663 Royal View Dr, Memphis, TN 38128"
"$1,400 /mo","3 Beds, 2 Baths",House for Rent
"$1,875 /mo","3 Beds, 2 Baths","7056 Atherton Cove, Memphis, TN 38119"
"$1,145 /mo","3 Beds, 1 Bath",House for Rent
"$1,585 /mo","3 Beds, 2 Baths","2231 Oak Hollow Ln, Memphis, TN 38016"
"$1,870 /mo","3 Beds, 2 Baths",House for Rent
"$2,290 /mo","3 Beds, 2 Baths","6835 Sauterne Cove, Memphis, TN 38115"
"$1,490 /mo","3 Beds, 2 Baths",House for Rent
"$1,600 /mo","3 Beds, 2 Baths","4062 Hobson Rd, Memphis, TN 38128"
"$1,625 /mo","3 Beds, 2 Baths",House for Rent
"$1,625 /mo","3 Beds, 2 Baths","2966 Crowell St, Memphis, TN 38133"
"$2,285 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,665 /mo","3 Beds, 2 Baths","7512 Val Marie Ln, Memphis, TN 38133"
"$1,945 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,620 /mo","3 Beds, 2 Baths","685 N 5th St, Memphis, TN 38107"
"$1,435 /mo","3 Beds, 2 Baths",House for Rent
"$2,000 /mo","3 Beds, 2 Baths","3027 Curtis St, Memphis, TN 38118"
"$1,490 /mo","3 Beds, 2 Baths",House for Rent
"$1,385 /mo","4 Beds, 3 Baths","2727 Mendota Cove, Memphis, TN 38133"
"$1,645 /mo","3 Beds, 2.1 Baths",House for Rent
"$1,660 /mo","3 Beds, 2 Baths","5390 Timberdale Ave, Memphis, TN 38135"
"$1,915 /mo","3 Beds, 2 Baths",House for Rent
"$1,765 /mo","4 Beds, 2.5 Baths","2920 Bannockburn Rd, Memphis, TN 38128"
"$2,260 /mo","3 Beds, 2 Baths",House for Rent
"$1,415 /mo","3 Beds, 2 Baths","6737 Willow Way Ln, Memphis, TN 38141"
"$1,615 /mo","3 Beds, 2 Baths",House for Rent
"$1,795 /mo","3 Beds, 2.5 Baths","6233 Berry Hill Cove, Memphis, TN 38141"
"$2,040 /mo","3 Beds, 2.5 Baths",House for Rent
"$2,295 /mo","3 Beds, 2 Baths","4378 Castle Heights Dr, Memphis, TN 38141"
"$2,320 /mo","3 Beds, 2.5 Baths",House for Rent
"$1,375 /mo","3 Beds, 2 Baths","4193 Sevella Rd, Memphis, TN 38128"
"$1,370 /mo","4 Beds, 1.5 Baths",House for Rent
"$1,445 /mo","3 Beds, 1 Bath","7463 Hunter Trail Cove, Memphis, TN 38125"
"$1,400 /mo","3 Beds, 2 Baths",House for Rent
"$1,995 /mo","4 Beds, 2 Baths","6606 Mistletoe Cove, Memphis, TN 38141"
"$1,745 /mo","4 Beds, 2 Baths",House for Rent
"$1,680 /mo","3 Beds, 2 Baths","10219 Cottage Oaks Cove, Memphis, TN 38016"
"$1,630 /mo","3 Beds, 2 Baths",House for Rent
"$1,560 /mo","3 Beds, 2 Baths","2691 Bending Elm Dr, Memphis, TN 38016"
"$1,700 /mo","3 Beds, 2 Baths",House for Rent
"$1,695 /mo","4 Beds, 2.5 Baths","4562 Cognac Cove, Memphis, TN 38141"
"$1,770 /mo","3 Beds, 2 Baths",House for Rent
"$1,815 /mo","3 Beds, 2 Baths","499 Bedlington Dr, Memphis, TN 38018"
"$2,825 /mo","5 Beds, 3 Baths",House for Rent
"$1,830 /mo","3 Beds, 2 Baths","1990-1993 3 Pines Cove, Memphis, TN 38016"
"$1,765 /mo","3 Beds, 2 Baths",House for Rent
"$1,860 /mo","4 Beds, 2 Baths","4405 Indian Trail Dr, Memphis, TN 38141"
"$1,645 /mo","3 Beds, 2 Baths",House for Rent
"$2,310 /mo","4 Beds, 2.5 Baths","3754 Denver St, Memphis, TN 38127"
"$1,385 /mo","3 Beds, 2 Baths",House for Rent
"$1,830 /mo","3 Beds, 2 Baths","918 Brownlee Rd, Memphis, TN 38116"
"$1,545 /mo","3 Beds, 2 Baths",House for Rent
"$1,475 /mo","4 Beds, 2 Baths","4286 Appian Dr, Memphis, TN 38128"
"$1,350 /mo","3 Beds, 1 Bath",House for Rent
"$1,245 /mo","3 Beds, 1.5 Baths","5743 Woodbourne Ct, Memphis, TN 38115"
"$1,515 /mo","3 Beds, 2 Baths",House for Rent
"$1,200 /mo","2 Beds, 1 Bath","6525 Bald Cypress Cove, Memphis, TN 38141"
"$2,345 /mo","4 Beds, 2.5 Baths",House for Rent
"$1,865 /mo","4 Beds, 2 Baths","690 N Willett St, Memphis, TN 38107"
"$1,635 /mo","3 Beds, 2 Baths",House for Rent
"$1,370 /mo","3 Beds, 2 Baths","3559 Wincross Dr, Memphis, TN 38119"
