rent,rooms,bathrooms,sqft,address
1399000,6,6,2613,"2500 N Mozart St, Chicago, IL 60647"
200000,3,3,3049,"9624 S Wallace St, Chicago, IL 60628"
390000,2,2,675,"1111 S Wabash Ave #2501, Chicago, IL 60605"
575000,3,3,1573,"3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
540000,4,4,1817,"5750 S Merrimac Ave, Chicago, IL 60638"
599000,4,4,4356,"2106 N Whipple St, Chicago, IL 60647"
1249000,2,2,1200,"474 N Lake Shore Dr #6003, Chicago, IL 60611"
319000,1,1,3484,"1850 N Clark St #2202, Chicago, IL 60614"
3095000,7,7,2005,"2309 N Geneva Ter, Chicago, IL 60614"
70000,3,3,800,"617 W 129th Pl, Chicago, IL 60628"
429999,6,6,8000,"7408 S Emerald Ave, Chicago, IL 60621"
169900,1,1,2574,"2809 W Washington Blvd #101, Chicago, IL 60612"
339000,3,3,1083,"2057 W Fargo Ave #1, Chicago, IL 60645"
339900,8,8,9247,"5323 S Emerald Ave, Chicago, IL 60609"
499900,2,2,5662,"233 E 13th St #601, Chicago, IL 60605"
213000,0,0,3049,"33 W Ontario St Unit 15D, Chicago, IL 60654"
649000,6,6,1420,"4451 N Tripp Ave, Chicago, IL 60630"
445000,1,1,1290,"60 E Monroe St #3905, Chicago, IL 60603"
575000,3,3,1573,"3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
540000,4,4,1817,"5750 S Merrimac Ave, Chicago, IL 60638"
599000,4,4,4356,"2106 N Whipple St, Chicago, IL 60647"
1249000,2,2,1200,"474 N Lake Shore Dr #6003, Chicago, IL 60611"
319000,1,1,3484,"1850 N Clark St #2202, Chicago, IL 60614"
3095000,7,7,2005,"2309 N Geneva Ter, Chicago, IL 60614"
70000,3,3,800,"617 W 129th Pl, Chicago, IL 60628"
429999,6,6,8000,"7408 S Emerald Ave, Chicago, IL 60621"
169900,1,1,2574,"2809 W Washington Blvd #101, Chicago, IL 60612"
339000,3,3,1083,"2057 W Fargo Ave #1, Chicago, IL 60645"
339900,8,8,9247,"5323 S Emerald Ave, Chicago, IL 60609"
499900,2,2,5662,"233 E 13th St #601, Chicago, IL 60605"
213000,0,0,3049,"33 W Ontario St Unit 15D, Chicago, IL 60654"
649000,6,6,1420,"4451 N Tripp Ave, Chicago, IL 60630"
445000,1,1,1290,"60 E Monroe St #3905, Chicago, IL 60603"
575000,3,3,1573,"3051 W Armitage Ave Unit 3W, Chicago, IL 60647"
540000,4,4,1817,"5750 S Merrimac Ave, Chicago, IL 60638"
599000,4,4,4356,"2106 N Whipple St, Chicago, IL 60647"
1249000,2,2,1200,"474 N Lake Shore Dr #6003, Chicago, IL 60611"
319000,1,1,3484,"1850 N Clark St #2202, Chicago, IL 60614"
3095000,7,7,2005,"2309 N Geneva Ter, Chicago, IL 60614"
70000,3,3,800,"617 W 129th Pl, Chicago, IL 60628"
429999,6,6,8000,"7408 S Emerald Ave, Chicago, IL 60621"
169900,1,1,2574,"2809 W Washington Blvd #101, Chicago, IL 60612"
339000,3,3,1083,"2057 W Fargo Ave #1, Chicago, IL 60645"
339900,8,8,9247,"5323 S Emerald Ave, Chicago, IL 60609"
499900,2,2,5662,"233 E 13th St #601, Chicago, IL 60605"
213000,0,0,3049,"33 W Ontario St Unit 15D, Chicago, IL 60654"
649000,6,6,1420,"4451 N Tripp Ave, Chicago, IL 60630"
445000,1,1,1290,"60 E Monroe St #3905, Chicago, IL 60603"
180000,3,3,1200,"13726 Repa Ln, Houston, TX 77014"
359999,6,6,4800,"9415 Limestone Ranch Ln, Richmond, TX 77407"
249999,4,4,3014,"8934 Delilah St, Houston, TX 77033"
399000,4,4,7850,"24715 Nautical Mile Ln, Katy, TX 77494"
515000,4,4,1246,"2211 Purple Plum Ln, Houston, TX 77062"
275000,2,2,6435,"1711 Old Spanish Trl #433, Houston, TX 77054"
327500,2,2,2934,"1704 Aden Mist Dr, Houston, TX 77003"
557000,3,3,6781,"803 Vincent St, Houston, TX 77009"
337000,3,3,2952,"6729 Tournament Dr, Houston, TX 77069"
425000,3,3,9528,"620 Kelley St, Houston, TX 77009"
1125000,4,4,1224,"1545 Cortlandt St, Houston, TX 77008"
389900,3,3,1610,"10402 Indian Paintbrush Ln, Houston, TX 77095"
319900,5,5,1727,"14843 Estrellita Dr, Houston, TX 77060"
255000,3,3,1310,"5935 Santa Bernadetta, Houston, TX 77017"
119900,2,2,5000,"250 El Dorado Blvd #129, Houston, TX 77598"
99990,2,2,2159,"9538 Pagewood Ln #9583, Houston, TX 77063"
459000,4,4,3500,"7310 Ridge Oak Dr, Houston, TX 77088"
439900,3,3,1333,"3905 Pinemont Dr Unit F, Houston, TX 77018"
284990,3,3,5300,"9611 Berlin Ct, Houston, TX 77070"
579500,4,4,2321,"814 Silvergate Dr, Houston, TX 77079"
275000,4,4,6600,"3019 Jewel Ann St, Houston, TX 77082"
399500,4,4,2346,"3419 Shadowchase Dr, Houston, TX 77082"
239500,3,3,9060,"11603 Leader St, Houston, TX 77072"
219500,3,3,2096,"11022 Concho St, Houston, TX 77072"
599000,3,3,6825,"1845 Wycliffe Dr, Houston, TX 77043"
228500,3,3,1631,"11127 Triola Ln, Houston, TX 77072"
674900,3,3,3045,"807 Graceland St, Houston, TX 77009"
575000,4,4,1001,"7511 Lone Star Junction St, Richmond, TX 77406"
145000,2,2,1224,"12300 Brookglade Cir #103, Houston, TX 77099"
539000,5,5,2870,"13027 Breezy Meadow Ln, Houston, TX 77044"
324900,3,3,8056,"9203 Fordshire Dr, Houston, TX 77025"
245000,3,3,1907,"9322 Belleclaire Ln, Houston, TX 77044"
204900,3,3,1631,"9215 Vinearbor St, Houston, TX 77033"
460000,4,4,9512,"4606 Vernon St BLANK Unit B, Houston, TX 77020"
460000,4,4,2713,"4606 Vernon St Unit A, Houston, TX 77020"
270000,3,3,9331,"11918 Estes Park Lane Ln, Houston, TX 77067"
519900,4,4,1931,"5519 W Bellfort Ave, Houston, TX 77035"
434800,4,4,4527,"13823 Lake Livingston Dr, Houston, TX 77044"
335000,3,3,2532,"8831 Cedar Mound Ln, Houston, TX 77083"
375000,2,2,7188,"125 E 2nd St, Houston, TX 77007"
449895,4,4,2309,"7725 Green Lawn Dr, Houston, TX 77088"
230000,2,2,6370,"2016 Main St #704, Houston, TX 77002"
409990,4,4,1169,"906 Heathgate Dr, Houston, TX 77062"
325000,3,3,2447,"5922 Ettrick Dr, Houston, TX 77035"
249900,3,3,7540,"10307 Bushy Creek Dr, Houston, TX 77070"
287900,4,4,1704,"19906 Ruby Red Ct, Houston, TX 77073"
256500,3,3,8520,"15802 Acorn Clearing Path Path, Houston, TX 77044"
1997500,4,4,1291,"2220 Woodhead St, Houston, TX 77019"
399000,4,4,4620,"5612 Savyon Dr, Houston, TX 77091"
545000,4,4,2255,"5803 Queensloch Dr, Houston, TX 77096"
1997500,4,4,5673,"1655 Marshall St, Houston, TX 77006"
399000,3,3,1610,"6026 Willowbend Blvd, Houston, TX 77096"
1994500,4,4,5174,"1815 Marshall St, Houston, TX 77098"
525000,3,3,4679,"3002 Markle Dr, Houston, TX 77003"
574900,3,3,5000,"4909 Park Dr, Houston, TX 77023"
264999,1,1,2300,"300 St Joseph Pkwy #317, Houston, TX 77002"
259900,3,3,2311,"3022 Greenbriar Springs Dr, Houston, TX 77073"
