price,rooms,bathrooms,sqft,address,city
573000,4,4,1463,"410 Solano Dr SE, Albuquerque, NM 87108","Albuquerque, NM"
303000,3,3,2613,"8119 Sheffield Pl NW, Albuquerque, NM 87120","Albuquerque, NM"
389500,4,4,1795,"10912 Woodland Ave NE, Albuquerque, NM 87112","Albuquerque, NM"
458000,3,3,8712,"7309 Valley Forge Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
281000,3,3,2114,"5301 Candelaria Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
201000,2,2,6098,"3301 Monroe St NE Unit C26, Albuquerque, NM 87110","Albuquerque, NM"
378500,2,2,2717,"620 Chama St SE, Albuquerque, NM 87108","Albuquerque, NM"
430000,5,5,38768.4,"9516 Silica Ave NW, Albuquerque, NM 87120","Albuquerque, NM"
389000,3,3,1254,"3517 Hendrix Rd NE, Albuquerque, NM 87107","Albuquerque, NM"
689000,3,3,6534,"12709 Desert Marigold Ln NE, Albuquerque, NM 87111","Albuquerque, NM"
350000,2,2,2796,"716 Benicia Ln SW, Albuquerque, NM 87102","Albuquerque, NM"
429000,3,3,6534,"11823 Pocono Rd SE, Albuquerque, NM 87123","Albuquerque, NM"
229500,2,2,1078,"10619 Buck Island Rd SW, Albuquerque, NM 87121","Albuquerque, NM"
325000,4,4,2215,"1335 Amole Dr SW, Albuquerque, NM 87121","Albuquerque, NM"
339900,2,2,8712,"2417 Del Sur Dr SW, Albuquerque, NM 87105","Albuquerque, NM"
650000,2,2,616,"1203 Trujillo Rd SW, Albuquerque, NM 87105","Albuquerque, NM"
684900,4,4,1013,"2873 Brushwood St NE, Albuquerque, NM 87122","Albuquerque, NM"
228000,2,2,14810.4,"231 Southern Ave SE, Albuquerque, NM 87102","Albuquerque, NM"
449999,4,4,2388,"2925 Rhode Island St NE, Albuquerque, NM 87110","Albuquerque, NM"
497500,3,3,1887,"1215 Blue Quail Rd NE, Albuquerque, NM 87112","Albuquerque, NM"
895000,3,3,6098,"2213 Matthew Ave, Albuquerque, NM 87104","Albuquerque, NM"
1399999,5,5,2354,"10000 San Bernardino Dr NE, Albuquerque, NM 87122","Albuquerque, NM"
438990,4,4,12196.8,"9373 Sidreaux Loop NW, Albuquerque, NM 87114","Albuquerque, NM"
288000,3,3,4712,"3232 Schumacher St NW, Albuquerque, NM 87120","Albuquerque, NM"
539000,2,2,38768.4,"2304 Komatke Trl NW, Albuquerque, NM 87120","Albuquerque, NM"
80000,3,3,1883,"8900 2nd St NW #17, Albuquerque, NM 87114","Albuquerque, NM"
419000,3,3,4199,"5839 Ermenim Ave Nw Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
699990,4,4,1439,"111 Fernleaf Ct NW, Albuquerque, NM 87107","Albuquerque, NM"
399000,4,4,3920,"1 Pool St NW, Albuquerque, NM 87120","Albuquerque, NM"
415000,3,3,1850,"6017 Concordia Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
340000,2,2,6534,"1828 Florida St NE, Albuquerque, NM 87110","Albuquerque, NM"
699900,4,4,1280,"1008 Cuatro Cerros Trl SE, Albuquerque, NM 87123","Albuquerque, NM"
562500,4,4,2332,"2004 Redondo Peak Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
335000,2,2,4356,"6501 San Antonio Dr NE #2203, Albuquerque, NM 87109","Albuquerque, NM"
359900,3,3,2323,"985 Barkwell Dr SW, Albuquerque, NM 87121","Albuquerque, NM"
529000,4,4,5793,"6808 Vista Del Sol Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
335000,3,3,1910,"13409 Mountain View Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
522000,3,3,3920,"1844 Calle Barbarita NW, Albuquerque, NM 87107","Albuquerque, NM"
649000,4,4,1751,"3809 Oxbow Village Ln NW, Albuquerque, NM 87120","Albuquerque, NM"
295000,2,2,9147,"11115 Paris Ave NE, Albuquerque, NM 87111","Albuquerque, NM"
374900,4,4,1785,"406 Truman St NE, Albuquerque, NM 87108","Albuquerque, NM"
450000,4,4,6534,"12220 Pineridge Ave NE, Albuquerque, NM 87112","Albuquerque, NM"
125000,3,3,3657,"513 Veranda Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
725000,7,7,10890.0,"122 Girard Blvd SE, Albuquerque, NM 87106","Albuquerque, NM"
189000,2,2,3479,"3501 Juan Tabo Blvd NE Unit K8, Albuquerque, NM 87111","Albuquerque, NM"
349000,3,3,7841,"5007 Grande Dr NW, Albuquerque, NM 87107","Albuquerque, NM"
595000,3,3,1362,"Undisclosed address, Albuquerque, NM 87120","Albuquerque, NM"
385000,5,5,1553,"10416 Griffon Dr NW, Albuquerque, NM 87114","Albuquerque, NM"
398500,5,5,4747,"7108 Canary Ln NE, Albuquerque, NM 87109","Albuquerque, NM"
